time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
98.799,15.7244,0.438475,830,324,0.42729246709453
98.999,15.7562,0.418907,818,335,0.42740429242359
99.199,15.788,0.417897,816,335,0.42731931949935
99.399,15.8199,0.412987,816,339,0.42722509630436
99.599,15.8517,0.401396,803,343,0.42708271534131
99.799,15.8835,0.40106,793,339,0.4268258481879
99.999,15.9153,0.392383,786,343,0.42656818970602
100.199,15.9472,0.390071,784,344,0.42622633780896
100.399,15.979,0.376211,781,354,0.42586478443087
100.599,16.0108,0.353765,773,369,0.42536824658656
100.799,16.0427,0.364111,783,365,0.4246522141207
100.999,16.0745,0.365164,772,359,0.42404680197949
101.199,16.1063,0.346795,767,372,0.42345797395969
101.399,16.1382,0.349164,767,370,0.4226913442201
101.599,16.17,0.339192,762,376,0.4219560707779
101.799,16.2018,0.355903,781,371,0.42112843007012
101.999,16.2337,0.369603,793,365,0.42047617576942
102.199,16.2655,0.400174,803,344,0.41996744401172
102.399,16.2973,0.406632,806,340,0.41976950957161
102.599,16.3292,0.416667,799,329,0.41963813447589
102.799,16.361,0.420495,804,328,0.41960842313113
102.999,16.3928,0.441071,807,313,0.41961728889982
103.199,16.4246,0.453721,801,301,0.41983182601082
103.399,16.4565,0.456989,813,303,0.42017071775071
103.599,16.4883,0.478417,822,290,0.42053890057321
103.799,16.5201,0.487455,830,286,0.42111768156747
103.999,16.552,0.492377,832,283,0.4217810547518
104.199,16.5838,0.484956,839,291,0.42248701420428
104.399,16.6156,0.496441,841,283,0.42311170406224
104.599,16.6475,0.495591,848,286,0.42384499702162
104.799,16.6793,0.484716,850,295,0.4245624570514
104.999,16.7111,0.490501,863,295,0.42516399248089
105.199,16.743,0.473775,857,306,0.42581736255608
105.399,16.7748,0.47013,849,306,0.42629693893052
105.599,16.8066,0.455488,842,315,0.42673526954121
105.799,16.8384,0.448751,841,320,0.4270227968458
105.999,16.8703,0.44721,843,322,0.42724007887734
106.199,16.9021,0.445887,835,320,0.42743977808857
106.399,16.9339,0.432574,818,324,0.42762425030768
